column 1	Chemical Formula
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	C7H7NO4
DELTA3-ISOPENTENYL-PP	C5H9O7P2
DEOXYXYLULOSE-5P	C5H9O7P
DEPHOSPHO-COA	C21H33N7O13P2S
DGDP	C10H12N5O10P2
DGMP	C10H12N5O7P
DGTP	C10H12N5O13P3
DI-H-OROTATE	C5H5N2O4
DI-H-URACIL	C4H6N2O2
DIACETYL	C4H6O2
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	C9H14N5O8P
DIHYDRO-NEO-PTERIN	C9H13N5O4
DIHYDROFOLATE-GLU-N	
DIHYDROKAEMPFEROL-CMPD	C15H12O6
DIHYDRONEOPTERIN-P	C9H12N5O7P
DIHYDRONEOPTERIN-P3	C9H12N5O13P3
DIHYDROPTERIN-CH2OH-PP	C7H8N5O8P2
DIHYDROXY-ACETONE-PHOSPHATE	C3H5O6P
DIHYDROXY-BUTANONE-P	C4H7O6P
DIHYDROXYNAPHTHOATE	C11H7O4
DIMETHYL-D-RIBITYL-LUMAZINE	C13H17N4O6
DIVINYL-PROTOCHLOROPHYLLIDE-A	C35H28N4O5Mg
DODECANOATE	C12H23O2
DUDP	C9H11N2O11P2
DUMP	C9H11N2O8P
DUTP	C9H11N2O14P3
ENT-COPALYL-DIPHOSPHATE	C20H33O7P2
ENT-KAUR-16-EN-19-AL	C20H30O
ENT-KAUR-16-EN-19-OL	C20H32O
EPISTEROL	C28H46O
EPOXYSQUALENE	C30H50O
ERYTHROSE-4P	C4H7O7P
ETHANOL-AMINE	C2H8NO
ETOH	C2H6O
FAD	C27H30N9O15P2
FADH2	C27H33N9O15P2
FARNESYL-PP	C15H25O7P2
FE+2	Fe
FE+3	Fe
FERULIC-ACID	C10H9O4
FERULOYL-COA	C31H40N7O19P3S
FMN	C17H18N4O9P
FORMALDEHYDE	CH2O
FORMATE	CHO2
FORMYL-THF-GLU-N	
FRUCTOSE-16-DIPHOSPHATE	C6H10O12P2
FRUCTOSE-6P	C6H11O9P
FUM	C4H2O4
G3P	C3H4O7P
GALACTOSE-1P	C6H11O9P
GAP	C3H5O6P
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	C16H21N5O15P2
GDP-D-GLUCOSE	C16H23N5O16P2
GDP-L-GALACTOSE	C16H23N5O16P2
GDP-MANNOSE	C16H23N5O16P2
GERANIAL	C10H16O
GERANIOL	C10H18O
GERANYL-PP	C10H17O7P2
GERANYLGERANYL-PP	C20H33O7P2
GLC-1-P	C6H11O9P
GLC-6-P	C6H11O9P
GLC-D-LACTONE	C6H10O6
GLN	C5H10N2O3
GLT	C5H8NO4
GLUCONATE	C6H11O7
GLUTAMATE-1-SEMIALDEHYDE	C5H9NO3
GLY	C2H5NO2
GLYCERALD	C3H6O3
GLYCERATE	C3H5O4
GLYCEROL	C3H8O3
GLYCEROL-3P	C3H7O6P
GLYCOLALDEHYDE	C2H4O2
GLYCOLLATE	C2H3O3
GLYOX	C2HO3
GMP	C10H12N5O8P
GTP	C10H12N5O14P3
GUANINE	C5H5N5O
GUANOSINE	C10H13N5O5
Glycerolipids	
H2CO3	CH2O3
HCN	CHN
HCO3	CHO3
HIS	C6H9N3O2
HISTIDINAL	C6H10N3O
HISTIDINOL	C6H12N3O
HMP	C6H9N3O
HOMO-CYS	C4H9NO2S
HOMO-SER	C4H9NO3
HOMOGENTISATE	C8H7O4
HS	H2S
HYDROGEN-PEROXIDE	H2O2
HYDROXY-METHYL-BUTENYL-DIP	C5H9O8P2
HYDROXYMETHYLBILANE	C40H38N4O17
HYPOXANTHINE	C5H4N4O
ILE	C6H13NO2
IMIDAZOLE-ACETOL-P	C6H7N2O5P
IMINOASPARTATE	C4H3NO4
IMP	C10H11N4O8P
INDOLE	C8H7N
INDOLE-3-ACETYL-ALA	C13H13N2O3
INDOLE-3-ACETYL-LEU	C16H19N2O3
INDOLE-3-GLYCEROL-P	C11H12NO6P
INDOLE_ACETALDEHYDE	C10H9NO
INDOLE_ACETATE_AUXIN	C10H8NO2
