Reaction	Genes of a reaction
1.10.2.2-RXN	
1.6.99.5-RXN	SOBIC.010G083500 // SOBIC.010G235000 // SOBIC.003G317600 // SOBIC.003G343500 // SOBIC.007G035700 // SOBIC.002G340600
3.6.3.16-RXN	SOBIC.006G106600 // SOBIC.002G268800 // SOBIC.004G238200
ADENYLYLSULFATE-REDUCTASE-RXN	SOBIC.002G314300 // SOBIC.005G152550
NADH-DEHYDROG-A-RXN	SOBIC.002G396700 // SOBIC.002G395000 // SOBIC.002G356400 // SOBIC.002G308300 // SOBIC.002G246200 // SOBIC.002G149550 // SOBIC.K031300 // SOBIC.001G392800 // SOBIC.001G251750 // SOBIC.001G230050 // SOBIC.001G134200 // SOBIC.001G115700 // SOBIC.001G519000 // SOBIC.001G473400 // SOBIC.001G282500 // SOBIC.001G073600 // SOBIC.007G133500 // SOBIC.001G164350 // SOBIC.007G211500 // SOBIC.007G168400 // SOBIC.007G134900 // SOBIC.004G155100 // SOBIC.004G042000 // SOBIC.004G249200 // SOBIC.004G344800 // SOBIC.004G166400 // SOBIC.004G041900 // SOBIC.K032350 // SOBIC.005G044600 // SOBIC.009G209400 // SOBIC.009G191400 // SOBIC.009G095720 // SOBIC.009G176000 // SOBIC.003G429000 // SOBIC.003G286200 // SOBIC.003G279200 // SOBIC.003G173200 // SOBIC.003G429300 // SOBIC.003G322300 // SOBIC.003G172900 // SOBIC.003G429200 // SOBIC.003G296800 // SOBIC.003G172966 // SOBIC.010G098800 // SOBIC.003G170300
PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	SOBIC.003G168700 // SOBIC.003G171900 // SOBIC.009G143100 // SOBIC.005G116400
PSII-RXN	SOBIC.002G004000 // SOBIC.002G159100 // SOBIC.006G151100 // SOBIC.006G151001 // SOBIC.001G276500 // SOBIC.001G299900 // SOBIC.007G207800 // SOBIC.007G145901 // SOBIC.004G222700 // SOBIC.004G191200 // SOBIC.008G131700 // SOBIC.008G102466 // SOBIC.008G065000 // SOBIC.009G191300 // SOBIC.003G313000 // SOBIC.003G395800 // SOBIC.003G328200 // SOBIC.003G221700 // SOBIC.003G172200 // SOBIC.003G169100 // SOBIC.003G070900 // SOBIC.003G172300 // SOBIC.010G241000 // SOBIC.010G139200
RXN-14971	SOBIC.010G031000 // SOBIC.010G015200 // SOBIC.001G072000 // SOBIC.007G023400 // SOBIC.001G206700 // SOBIC.002G028700 // SOBIC.002G149000 // SOBIC.002G185100
RXN0-5244	SOBIC.002G396700 // SOBIC.002G395000 // SOBIC.002G356400 // SOBIC.002G308300 // SOBIC.002G246200 // SOBIC.002G149550 // SOBIC.K031300 // SOBIC.001G392800 // SOBIC.001G251750 // SOBIC.001G230050 // SOBIC.001G134200 // SOBIC.001G115700 // SOBIC.001G519000 // SOBIC.001G473400 // SOBIC.001G282500 // SOBIC.001G073600 // SOBIC.007G133500 // SOBIC.001G164350 // SOBIC.007G211500 // SOBIC.007G168400 // SOBIC.007G134900 // SOBIC.004G155100 // SOBIC.004G042000 // SOBIC.004G249200 // SOBIC.004G344800 // SOBIC.004G166400 // SOBIC.004G041900 // SOBIC.K032350 // SOBIC.005G044600 // SOBIC.009G209400 // SOBIC.009G191400 // SOBIC.009G095720 // SOBIC.009G176000 // SOBIC.003G429000 // SOBIC.003G286200 // SOBIC.003G279200 // SOBIC.003G173200 // SOBIC.003G429300 // SOBIC.003G322300 // SOBIC.003G172900 // SOBIC.003G429200 // SOBIC.003G296800 // SOBIC.003G172966 // SOBIC.010G098800 // SOBIC.003G170300 // SOBIC.006G258800 // SOBIC.006G258700 // SOBIC.006G203000 // SOBIC.006G202600 // SOBIC.006G203100 // SOBIC.006G202500 // SOBIC.004G270500 // SOBIC.001G194900 // SOBIC.001G023200 // SOBIC.003G036500 // SOBIC.003G094000
RXN0-5259	SOBIC.002G185100 // SOBIC.002G149000 // SOBIC.002G028700 // SOBIC.001G206700 // SOBIC.007G023400 // SOBIC.001G072000 // SOBIC.010G015200 // SOBIC.010G031000 // SOBIC.002G042400 // SOBIC.006G056800 // SOBIC.002G340600 // SOBIC.007G035700 // SOBIC.003G343500 // SOBIC.003G317600 // SOBIC.010G235000 // SOBIC.010G083500 // SOBIC.006G266200 // SOBIC.006G029700 // SOBIC.001G304700
PRPPSYN-RXN	SOBIC.001G544600 // SOBIC.004G261500 // SOBIC.004G025800 // SOBIC.003G281200 // SOBIC.010G193600
RIB5PISOM-RXN	SOBIC.002G051100 // SOBIC.001G069000 // SOBIC.008G135701 // SOBIC.005G033000 // SOBIC.003G182400
INORGPYROPHOSPHAT-RXN	SOBIC.006G276700 // SOBIC.006G037700 // SOBIC.001G252900 // SOBIC.004G333900 // SOBIC.004G311100 // SOBIC.004G268000 // SOBIC.004G265800 // SOBIC.004G068300 // SOBIC.009G152600 // SOBIC.009G016000 // SOBIC.003G367650 // SOBIC.003G155000 // SOBIC.003G129300 // SOBIC.003G396900 // SOBIC.010G205500
3.6.3.26-RXN	SOBIC.001G541900 // SOBIC.001G302800 // SOBIC.007G044300 // SOBIC.009G099000
3.6.3.35-RXN	SOBIC.001G103300
3.6.3.6-RXN	SOBIC.002G065000 // SOBIC.006G247100 // SOBIC.001G539400 // SOBIC.001G480700 // SOBIC.001G543900 // SOBIC.001G519300 // SOBIC.001G132400 // SOBIC.007G087700 // SOBIC.004G131600 // SOBIC.004G331500 // SOBIC.008G190500 // SOBIC.008G061801 // SOBIC.003G436400 // SOBIC.010G207800 // SOBIC.010G063700
ABC-25-RXN	SOBIC.001G382800 // SOBIC.009G131300
